t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0,local1,local2,local3,local4,local5,local6,local7,local8,local9,local10,local11,local12,local13,local14,local15,local16
250,-1,971148.562,9887.06836,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,966925.438,54.6911316,7630.58154,978778.312,956713.75,3923.52222,967754.125,967244.625,962908.188,1461.63965,965149.375,967012.938,6679.6875,-0.00919300318,968750.812,-6679.6875,-32.0435905
251,-1,971148.562,9901.28906,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,966837.812,51.7540207,7439.76318,974796.25,956713.75,3624.33252,967254.625,967244.625,963376.562,1379.29053,965430.062,967244.625,-2795.375,-0.00718533993,962383.875,2795.375,-34.4816742
252,-1,971148.562,9894.48438,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,966940.188,53.0531998,7060.43164,974266,956713.75,3625.06323,967264.062,967244.625,963376.562,1320.63733,965674.625,966596.5,1337.5625,0.000136733055,969063.562,-1337.5625,-34.4682121
253,-1,971148.562,9901.04102,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,966857.062,51.6110535,6843.55273,974266,956713.75,3632.15259,967177.375,967244.625,963376.562,1271.13379,965875,966925.438,-1288.8125,-0.0012549758,966268.188,1288.8125,-34.4122391
254,-1,971148.562,9879.43945,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,967351.188,55.8674698,6726.02686,974266,956713.75,3675.56909,967575.625,967351.188,963376.562,1230.45398,966101.625,966837.812,4246.125,0.00577902794,967605.75,-4246.125,-34.0517349
255,-1,971148.562,9875.80176,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,967874.75,56.5603905,6412.32861,974266,956713.75,3518.55835,968191.562,967874.75,963376.562,1156.50366,966380.375,966940.188,715,0.00895738602,966316.938,-715,-35.3620949
256,-1,971148.562,9895.66406,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,967808,51.7797546,6434.55078,974266,957646.5,2590.00781,968754.438,967874.75,964565.438,859.30957,966696.875,966857.062,-3904.125,0.00821232796,970563.062,3904.125,-43.8763275
257,-1,971148.562,9871.27344,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,968389.375,56.6277924,6549.58301,974266,959213.5,2577.97437,968745.438,968389.375,965507.938,737.506104,966970,967351.188,4794.25,-0.000128626823,971278.062,-4794.25,-44.1506577
258,-1,971148.562,9841.20508,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,969681.25,61.7352142,6697.77783,979439.562,959213.5,3472.69727,969205.625,969681.25,965902.625,909.626099,967268.062,967874.75,5910.1875,0.00663208961,967373.938,-5910.1875,-36.0040703
259,0,0,9833.73828,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,971307.125,64.6177216,6504.33838,981971.75,959213.5,4750.67725,970163.312,971307.125,966331.812,1307.85046,967654.125,967808,3796.75,0.0138434172,972168.188,-3796.75,-26.0061798
