t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0
148,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,25.3200264
149,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,23.6356354
150,0,0,10000,0,0,0,0,0.0299999993,0,0,0.75,28.4960899
151,0,0,10000,1,0,0,0,0.0299999993,0,0,0.75,33.3561592
152,1,984733.188,10013.4355,0,0,0,0,0.0299999993,0,0,0.75,38.5788689
153,1,984733.188,9969.85938,0,0,0,0,0.0299999993,0,0,0.75,33.5761032
154,1,984733.188,9952.62305,0,0,0,0,0.0299999993,0,0,0.75,31.8185635
155,1,984733.188,9889.92285,0,0,0,0,0.0299999993,0,0,0.75,26.4038982
156,1,984733.188,9897.63867,0,0,0,0,0.0299999993,0,0,0.75,28.0271263
157,1,984733.188,9936.19141,1,0,0,0,0.0299999993,0,0,0.75,35.6622772
158,1,984733.188,9975.73828,0,0,0,0,0.0299999993,0,0,0.75,42.4111633
159,1,984733.188,10004.6436,0,0,0,0,0.0299999993,0,0,0.75,46.8036194
160,1,984733.188,10010.5,0,0,0,0,0.0299999993,0,0,0.75,47.6745567
161,1,984733.188,9999.08789,0,0,0,0,0.0299999993,0,0,0.75,46.0911827
162,1,984733.188,10012.3418,0,0,0,0,0.0299999993,0,0,0.75,48.2410469
163,1,984733.188,10047.0684,0,0,0,0,0.0299999993,0,0,0.75,53.4764595
164,1,984733.188,10060.0469,0,0,0,0,0.0299999993,0,0,0.75,55.2963257
165,1,984733.188,10090.5781,0,0,0,0,0.0299999993,0,0,0.75,59.3271065
166,1,984733.188,10014.4902,0,0,0,0,0.0299999993,0,0,0.75,47.7677917
167,1,984733.188,10027.2246,0,0,0,0,0.0299999993,0,0,0.75,49.5398598
168,1,984733.188,10014.5254,0,0,0,0,0.0299999993,0,0,0.75,47.7983093
169,1,984733.188,10039.4062,0,0,0,0,0.0299999993,0,0,0.75,51.4029274
170,1,984733.188,10036.1797,0,0,0,0,0.0299999993,0,0,0.75,50.9118271
171,1,984733.188,10075.1387,0,0,0,0,0.0299999993,0,0,0.75,56.3351135
172,1,984733.188,10055.0928,0,0,0,0,0.0299999993,0,0,0.75,53.0852966
173,1,984733.188,10064.9023,0,0,0,0,0.0299999993,0,0,0.75,54.4695549
174,1,984733.188,10014.1113,0,0,0,0,0.0299999993,0,0,0.75,46.7744102
175,1,984733.188,10018.6328,0,0,0,0,0.0299999993,0,0,0.75,47.485672
176,1,984733.188,9999.10156,0,0,0,0,0.0299999993,0,0,0.75,44.7066612
177,1,984733.188,9911.03906,0,0,0,0,0.0299999993,0,0,0.75,34.8137016
178,1,984733.188,9889.98828,0,0,0,0,0.0299999993,0,0,0.75,32.9373245
179,1,984733.188,9850.0957,0,0,0,0,0.0299999993,0,0,0.75,29.6734753
180,1,984733.188,9902.61914,1,0,0,0,0.0299999993,0,0,0.75,38.3373604
181,1,984733.188,9892.93359,0,0,0,0,0.0299999993,0,0,0.75,37.4218292
182,1,984733.188,9858.52539,0,0,0,0,0.0299999993,0,0,0.75,34.2890167
183,1,984733.188,9842.63086,0,0,0,0,0.0299999993,0,0,0.75,32.9181252
184,1,984733.188,9900.62695,0,0,0,0,0.0299999993,0,0,0.75,42.0260773
185,1,984733.188,9925.8457,0,0,0,0,0.0299999993,0,0,0.75,45.4917412
